,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.126,0.176,0.5897433429649633,0.4
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.056,0.086,0.5897433429649633,0.45
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.027,0.04,0.5897433429649633,0.5
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.012,0.016,0.5897433429649633,0.55
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.006,0.009,0.5897433429649633,0.6
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.003,0.004,0.5897433429649633,0.65
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.001,0.001,0.5897433429649633,0.7
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.179,0.228,0.5299809196701507,0.4
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.104,0.135,0.5299809196701507,0.45
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.054,0.075,0.5299809196701507,0.5
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.025,0.035,0.5299809196701507,0.55
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.01,0.015,0.5299809196701507,0.6
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.006,0.009,0.5299809196701507,0.65
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.003,0.004,0.5299809196701507,0.7
