,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.585,0.71,0.6781211923061018,0.4
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.45625,0.57875,0.6781211923061018,0.45
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.325,0.46,0.6781211923061018,0.5
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.19625,0.32,0.6781211923061018,0.55
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.11125,0.20125,0.6781211923061018,0.6
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.065,0.10625,0.6781211923061018,0.65
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.03125,0.05875,0.6781211923061018,0.7
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.4925,0.62,0.6895435145216051,0.4
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.355,0.495,0.6895435145216051,0.45
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.225,0.3575,0.6895435145216051,0.5
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.12375,0.22875,0.6895435145216051,0.55
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.065,0.13375,0.6895435145216051,0.6
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.03,0.075,0.6895435145216051,0.65
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.01375,0.0375,0.6895435145216051,0.7
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.27375,0.50625,0.49468799999055996,0.4
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.18875,0.38875,0.49468799999055996,0.45
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.13,0.29,0.49468799999055996,0.5
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.085,0.19625,0.49468799999055996,0.55
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.06125,0.13125,0.49468799999055996,0.6
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.03,0.0775,0.49468799999055996,0.65
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.01625,0.0425,0.49468799999055996,0.7
